Kwt,tf,source,resistance,nK,chan_ht,Combustor Heat Transfer [kW]
0.1,9.52,CFD,574.7,8.7e+20,6.4,7.92
0.1,9.52,Cantera,255.4 +- 17.3,7.39e+20 +- 1.2e+19,5.4 +- 0.09,15.4 +- 0.64
0.1,9.52,Expt,1093.0 +- 209.8,6.95e+20 +- 6.2e+19,5.4 +- 0.09,15.4 +- 0.64
0.1,12.96,CFD,671.3,1.04e+21,8.54,9.88
0.1,12.96,Cantera,226.1 +- 12.5,7.61e+20 +- 9.9e+18,6.82 +- 0.54,19.62 +- 0.86
0.1,12.96,Expt,1009.4 +- 159.2,9.36e+20 +- 1.6e+20,6.82 +- 0.54,19.62 +- 0.86
0.1,16.38,CFD,786.2,1.18e+21,10.62,11.63
0.1,16.38,Cantera,225.4 +- 10.4,7.61e+20 +- 8.3e+18,9.61 +- 0.73,23.77 +- 0.55
0.1,16.38,Expt,996.2 +- 325.2,9.97e+20 +- 1.1e+20,9.61 +- 0.73,23.77 +- 0.55
0.32,12.96,CFD,233.4,3.24e+21,8.99,10.37
0.32,12.96,Cantera,152.5 +- 3.8,2.34e+21 +- 1.6e+19,6.57 +- 0.42,19.39 +- 0.78
0.32,12.96,Expt,500.1 +- 39.2,3.11e+21 +- 4.4e+20,6.57 +- 0.42,19.39 +- 0.78
1.0,12.96,CFD,173.5,9.25e+21,9.13,9.93
1.0,12.96,Cantera,138.0 +- 13.4,6.46e+21 +- 1.9e+20,6.1 +- 0.39,16.36 +- 0.87
1.0,12.96,Expt,439.7 +- 97.8,9.15e+21 +- 1.8e+20,6.1 +- 0.39,16.36 +- 0.87
